state,county,station_x,year,jan_x,feb_x,mar_x,apr_x,may_x,jun_x,jul_x,aug_x,sep_x,oct_x,nov_x,dec_x,plant_acres,harvest_acres,yield_acres,bales,station_y,jan_y,feb_y,mar_y,apr_y,may_y,jun_y,jul_y,aug_y,sep_y,oct_y,nov_y,dec_y,total_percent_lost
TX,Shackelford,USH00410120,2005,309,488,398,0,750,495,1493,1195,0,497,38,5,1900,1800,400.0,1500,USC00410120,854,951,1242,1721,2116,2602,2728,2676,2595,1798,1400,631,10.51
TX,Hardeman,USH00417336,2005,457,244,256,94,544,589,1043,886,581,592,0,63,7100,6800,621.176470588,8800,USC00411995,615,841,1182,1661,2152,2769,2894,2749,2576,1861,1186,619,10.51
TX,Crosby,USH00412121,2005,339,329,587,59,331,445,909,440,293,323,3,18,219000,201100,706.5141720539999,296000,USC00412121,678,785,1067,1551,1957,2509,2622,2515,2437,1734,1216,567,10.51
TX,Reeves,USH00410498,2005,219,532,25,48,277,99,279,1128,145,1184,0,0,3600,3500,1481.14285714,10800,USC00410498,1001,945,1293,1675,2168,2671,2733,2505,2499,1751,1307,807,10.51
TX,Roberts,USH00415875,2005,568,145,239,139,716,1199,429,1533,20,366,58,15,1300,1300,849.2307692310001,2300,USC00415875,315,678,837,1321,1778,2300,2510,2432,2275,1575,1007,225,10.51
TX,Caldwell,USH00415429,2005,866,691,675,113,481,432,556,587,622,1371,79,301,4900,4700,684.255319149,6700,USC00415429,1324,1340,1580,1900,2354,2763,2887,2901,2827,2033,1740,1066,10.51
TX,Upton,USH00415707,2004,326,166,710,-9999,74,1717,737,931,701,1371,950,39,9200,6800,1023.52941176,14500,USC00415707,943,954,1766,1841,2520,2861,2830,2706,2407,1991,1222,760,9.0
TX,Lamar,USH00416794,2004,612,1158,672,665,1227,1682,604,416,119,1546,2143,374,2400,2200,654.545454545,3000,USC00416794,788,667,1613,1853,2338,2586,2786,2684,2533,2149,1373,797,9.0
TX,Bexar,USH00417945,2004,587,441,598,1275,458,2406,155,280,487,2407,2403,20,1300,1300,1218.46153846,3300,USC00417947,1261,1145,1924,1955,2415,2614,2777,2817,2645,2445,1652,1107,9.0
TX,Hale,USH00417079,2004,397,557,513,820,40,1351,697,984,851,923,1424,124,272200,261100,858.5216392189999,467000,USC00410012,524,446,1207,1400,2016,2333,2414,2334,2053,1569,748,439,9.0
TX,Sherman,USH00418692,2004,0,119,516,411,0,-9999,1044,707,1151,1,153,994,1400,1200,920.0,2300,USC00418692,269,263,1091,1261,2010,2214,2448,2183,2021,1359,521,382,9.0
TX,Bee,USH00410639,2004,853,359,316,1408,1499,2289,167,602,476,360,1661,137,23900,22100,814.4796380089999,37500,USC00410639,1377,1320,2021,2016,2377,2664,2775,2847,2649,2538,1845,1238,9.0
TX,Scurry,USH00418433,2004,458,617,811,613,445,962,1296,970,1174,1192,2056,284,52600,51500,453.902912621,48700,USC00418433,754,719,1545,1704,2407,2592,2678,2546,2282,1843,1112,685,9.0
TX,Pecos,USH00413280,2004,374,-9999,-9999,102,79,82,887,313,1252,942,829,15,7000,6900,1078.26086957,15500,USC00410482,953,948,1690,1790,2410,2744,2749,2643,2354,2060,1274,885,9.0
TX,Haskell,USH00413992,2004,308,904,411,1055,297,1941,1002,734,305,791,1559,203,87100,85100,545.992949471,96800,USC00413992,775,644,1502,1728,2310,2543,2758,2594,2407,1878,1138,696,9.0
TX,Starr,USH00417622,2004,459,64,363,1076,516,324,39,478,1318,867,374,130,6200,6100,676.721311475,8600,USC00413060,1522,1614,2245,2282,2642,3027,3027,3072,2710,2706,2017,1440,9.0
TX,Gaines,USH00418201,2004,223,596,571,877,147,305,593,410,2225,701,1580,201,262800,212800,868.4210526319998,385000,USC00418201,648,639,1418,1587,2237,2624,2659,2494,2179,1760,952,592,9.0
TX,Navarro,USH00412019,2004,668,1067,430,1462,1436,1933,315,1259,46,1987,1931,331,17400,16800,514.285714286,18000,USC00412019,1024,841,1706,1907,2327,2597,2821,2699,2534,2302,1460,993,9.0
